rank,drug_name,broad_id,smiles,affinity_kcal_mol
1,tivantinib,BRD-K33379087-001-07-5,O=C1NC(=O)[C@@H](c2cn3c4c(cccc24)CCC3)[C@@H]1c1c[nH]c2ccccc12,-12.050
2,arcyriaflavin-a,BRD-K72726508-001-02-1,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,-11.787
3,nemiralisib,BRD-K00003285-001-01-9,CC(C)N1CCN(Cc2cnc(-c3cc(-c4cccc5[nH]ccc45)cc4[nH]ncc34)o2)CC1,-11.704
4,GDC-0834,BRD-A30984645-001-01-5,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@H]3C(=O)N(C)CCN3C)cc2)n1,-11.644
5,sanguinarium-chloride,BRD-K66898851-003-02-5,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,-11.574
6,LY2801653,BRD-K18961567-001-01-1,Cc1ccc(C(=O)Nc2ccc(Oc3cc4cnn(C)c4cc3-c3cn[nH]c3)c(F)c2)c(=O)n1-c1ccc(F)cc1,-11.539
7,TC-F-2,BRD-K26041695-001-02-5,CCn1c(=O)n([C@H]2CCCN(c3nccc(-c4cc5ccccc5o4)n3)C2)c2ccccc21,-11.492
8,SAM-315,BRD-K00004553-001-01-9,O=S(=O)(c1cccc2ccccc12)c1n[nH]c2ccc(N3CCNCC3)cc12,-11.445
9,BMS-566419,BRD-K56932272-001-01-1,CCN1CCN(c2ccc(C(C)(C)NC(=O)c3cc4[nH]c5ccccc5c(=O)c4cc3F)cn2)CC1,-11.301
10,exo-IWR-1,BRD-K96155658-001-01-5,O=C(Nc1cccc2cccnc12)c1ccc(N2C(=O)[C@@H]3[C@H](C2=O)[C@H]2C=C[C@@H]3C2)cc1,-11.276
11,tanshinone-I,BRD-K34073885-001-10-9,Cc1coc2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12,-11.211
12,palonosetron,BRD-K08924299-003-07-9,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2,-11.163
