rank,drug_name,predicted_score,evidence_vs_target,measured_pchembl_vs_target,n_measured_activities,assay_types,chembl_variants_checked,chembl_pref_name
1,GDC-0834,-11.739,none,,0,,3,
2,atovaquone,-11.674,no-map,,0,,0,
3,endo-IWR-1,-11.67,none,,0,,3,
4,tivantinib,-11.669,none,,0,,3,TIVANTINIB
5,sanguinarium-chloride,-11.655,none,,0,,1,SANGUINARIUM
6,GNF-5837,-11.581,none,,0,,1,
7,arcyriaflavin-a,-11.554,none,,0,,1,STAUROSPORINE AGLYCON
8,LY2801653,-11.524,none,,0,,1,MERESTINIB
9,BMS-566419,-11.52,none,,0,,1,
10,entrectinib,-11.518,none,,0,,1,ENTRECTINIB
11,exo-IWR-1,-11.503,none,,0,,3,
12,NVP-BHG712,-11.481,none,,0,,1,
13,nemiralisib,-11.458,none,,0,,1,NEMIRALISIB
14,TC-I-2014,-11.392,none,,0,,1,
15,LY2584702,-11.38,none,,0,,1,LY-2584702
16,bictegravir,-11.376,none,,0,,3,BICTEGRAVIR
17,ELN-441958,-11.373,none,,0,,1,
18,KB-SRC-4,-11.355,none,,0,,1,
19,KN-62,-11.312,none,,0,,2,
20,AV-608,-11.262,none,,0,,1,SPERGUALIN
21,SAM-315,-11.249,none,,0,,1,
22,CYM-50769,-11.21,none,,0,,1,
23,BMS-986205,-11.185,none,,0,,5,LINRODOSTAT
24,MK-3207,-11.164,none,,0,,2,MK3207
25,JNJ-38877618,-11.102,none,,0,,1,JNJ-38877618
26,itacitinib,-11.101,none,,0,,3,ITACITINIB
27,medroxyprogesterone,-11.097,none,,0,,3,
28,brequinar,-11.076,none,,0,,1,BREQUINAR
29,SU11274,-11.046,none,,0,,2,
30,JW-67,-11.039,none,,0,,1,
31,lomitapide,-11.019,none,,0,,1,LOMITAPIDE
32,TMN-355,-11.017,none,,0,,1,
33,betamethasone-phosphate,-11.013,none,,0,,8,BETAMETHASONE PHOSPHORIC ACID
34,ST-1859,-11.009,none,,0,,1,
35,GSK2606414,-11.006,none,,0,,1,
36,SP-141,-11.003,none,,0,,1,
37,palonosetron,-10.994,none,,0,,6,PALONOSETRON
38,VU0155069,-10.986,none,,0,,2,
39,formestane,-10.967,no-map,,0,,0,
40,fluorometholone,-10.963,none,,0,,5,FLUOROMETHOLONE
41,VU0364739,-10.962,none,,0,,1,
42,PD-407824,-10.958,none,,0,,1,
43,JNJ-38877605,-10.947,none,,0,,2,JNJ-38877605
44,MK-7622,-10.947,none,,0,,1,MK-7622
45,eltrombopag,-10.946,none,,0,,3,ELTROMBOPAG
46,imirestat,-10.925,none,,0,,1,IMIRESTAT
47,OSI-027,-10.925,none,,0,,2,OSI-027
48,SEW-2871,-10.916,none,,0,,1,
49,exemestane,-10.907,none,,0,,3,EXEMESTANE
50,APTO-253,-10.905,none,,0,,1,APTO-253
