rank,drug_name,predicted_score,evidence_vs_target,measured_pchembl_vs_target,n_measured_activities,assay_types,chembl_variants_checked,chembl_pref_name
1,MK-3207,-14.024,none,,0,,2,MK3207
2,LY2584702,-13.058,none,,0,,1,LY-2584702
3,KPT-9274,-13.025,none,,0,,1,PADNARSERTIB
4,BMS-935177,-13.003,none,,0,,1,
5,salvianolic-acid-B,-12.790,none,,0,,5,
6,IRL-2500,-12.766,none,,0,,1,
7,AR-12,-12.656,none,,0,,1,AR-12
8,C188-9,-12.636,none,,0,,1,C-188-9
9,ETP-46464,-12.625,none,,0,,1,
10,itacitinib,-12.616,none,,0,,3,ITACITINIB
11,GZD824,-12.518,none,,0,,1,OLVEREMBATINIB
12,EB-47,-12.507,DIRECT,7.35,2,IC50,3,
13,ICG-001,-12.443,none,,0,,4,
14,NBI-74330-(+/-),-12.443,none,,0,,2,
15,VU0155069,-12.434,none,,0,,2,
16,INC-280,-12.421,none,,0,,1,CAPMATINIB
17,BGT226,-12.390,none,,0,,1,BGT-226 FREE BASE
18,FK-888,-12.385,none,,0,,2,
19,epigallocatechin-gallate-(-),-12.354,none,,0,,5,EPIGALOCATECHIN GALLATE
20,TCS-21311,-12.353,none,,0,,1,
21,nemiralisib,-12.342,none,,0,,1,NEMIRALISIB
22,HM-30181,-12.336,none,,0,,1,ENCEQUIDAR
23,GSK2606414,-12.335,none,,0,,1,
24,VU0364739,-12.308,none,,0,,1,
25,dutasteride,-12.279,none,,0,,4,DUTASTERIDE
26,ML228,-12.277,none,,0,,1,
27,hypericin,-12.250,none,,0,,1,HYPERICIN
28,procyanidin-B-2,-12.249,none,,0,,10,PROCYANIDIN B2
29,CID-16020046,-12.246,none,,0,,1,
30,MK-0893,-12.237,none,,0,,4,MK-0893
31,lomitapide,-12.222,none,,0,,1,LOMITAPIDE
32,tegobuvir,-12.207,none,,0,,1,TEGOBUVIR
33,AV-608,-12.203,none,,0,,1,SPERGUALIN
34,PIK-294,-12.197,none,,0,,1,
35,R306465,-12.160,none,,0,,1,R-306465
36,seletalisib,-12.158,none,,0,,1,SELETALISIB
37,XL147,-12.153,none,,0,,1,
38,NDT-9513727,-12.146,none,,0,,1,
39,ritanserin,-12.140,none,,0,,1,RITANSERIN
40,BMS-986158,-12.131,none,,0,,4,EZOBRESIB
41,eltrombopag,-12.123,none,,0,,3,ELTROMBOPAG
42,AZD3839,-12.120,none,,0,,2,AZD-3839
43,dofequidar,-12.120,none,,0,,2,DOFEQUIDAR
44,dasabuvir,-12.119,none,,0,,1,DASABUVIR
45,galeterone,-12.114,none,,0,,2,GALETERONE
46,deltarasin,-12.113,none,,0,,2,
47,SDZ-NKT-343,-12.110,none,,0,,4,
48,MK-2295,-12.097,none,,0,,1,NGD-8243
49,naltriben,-12.085,none,,0,,4,NALTRIBEN
50,olaparib,-12.085,DIRECT,10.00,125,EC50|IC50|Kd|Ki,1,OLAPARIB
