id,smiles,label,prep_ok,dock_ok,affinity,affinity_mean,affinity_std,n_passes,affinities_by_pass,error
CHEMBL4565316,O=C(Nc1nc2ccccc2s1)c1ccc(N2CCOCC2)cc1,CHEMBL4565316,True,True,-9.413,-9.413,0.0,1,-9.41,
CHEMBL4546105,CC(C)(C)Nc1nc(-c2ccncc2C(F)(F)F)nc2cnccc12,CHEMBL4546105,True,True,-9.022,-9.022,0.0,1,-9.02,
CHEMBL147591,O=C(O)c1cn(-c2ccc(F)cc2F)c2c(F)c(N3CCNCC3)c(F)cc2c1=O,CHEMBL147591,True,True,-10.635,-10.635,0.0,1,-10.63,
CHEMBL137263,O=C(O)c1cn2c3c(c(N4CCNCC4)c(F)cc3c1=O)Oc1c-2ccc2ccccc12,CHEMBL137263,True,True,-11.605,-11.605,0.0,1,-11.61,
CHEMBL149144,O=C(O)c1cn(-c2ccc(F)cc2)c2c(F)c(N3CCNCC3)c(F)cc2c1=O,CHEMBL149144,True,True,-10.243,-10.243,0.0,1,-10.24,
CHEMBL342547,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4F)c3c2F)CC1,CHEMBL342547,True,True,-10.316,-10.316,0.0,1,-10.32,
CHEMBL334367,CC1(N)CN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4F)c3c2F)C1,CHEMBL334367,True,True,-10.058,-10.058,0.0,1,-10.06,
CHEMBL148714,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4F)c3c2F)C1,CHEMBL148714,True,True,-10.23,-10.23,0.0,1,-10.23,
CHEMBL357158,CC1CN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4F)c3c2Cl)CCN1,CHEMBL357158,True,True,-10.431,-10.431,0.0,1,-10.43,
CHEMBL280134,CC1C(N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(F)cc3F)c2c1F,CHEMBL280134,True,True,-9.943,-9.943,0.0,1,-9.94,
CHEMBL60681,Nc1cc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)c(F)c32)c(F)cc1F,CHEMBL60681,True,True,-10.391,-10.391,0.0,1,-10.39,
CHEMBL15339,O=C(O)c1cn(-c2ccc(F)cc2F)c2cc(N3CCNCC3)c(F)cc2c1=O,CHEMBL15339,True,True,-10.254,-10.254,0.0,1,-10.25,
CHEMBL156244,CN1C[C@@H]2C[C@H]1CN2c1c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(F)cc3F)c2c1F,CHEMBL156244,True,True,-9.841,-9.841,0.0,1,-9.84,
CHEMBL334900,C[C@H]1[C@H](N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(F)cc3F)c2c1F,CHEMBL334900,True,True,-9.918,-9.918,0.0,1,-9.92,
CHEMBL19550,C[C@@H]1[C@@H](N)CN1c1c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(F)cc3F)c2c1F,CHEMBL19550,True,True,-10.718,-10.718,0.0,1,-10.72,
CHEMBL423049,O=C(O)c1cn(-c2ccc(F)cc2F)c2c(F)c(N3C[C@@H]4C[C@H]3CN4)c(F)cc2c1=O,CHEMBL423049,True,True,-9.682,-9.682,0.0,1,-9.68,
CHEMBL142401,NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(-c4ccc(F)cc4F)c3c2Cl)C1,CHEMBL142401,True,True,-10.516,-10.516,0.0,1,-10.52,
CHEMBL142105,COc1c(N2CCC(N)C2)c(F)cc2c(=O)c(C(=O)O)cn(-c3ccc(F)cc3F)c12,CHEMBL142105,True,True,-9.558,-9.558,0.0,1,-9.56,
