id,smiles,label,prep_ok,dock_ok,affinity,affinity_mean,affinity_std,n_passes,affinities_by_pass,error
CHEMBL525213,O=C1C=CC[C@H](C[C@@H]2C[C@H]3C[C@](/C=C/c4ccccc4)(Oc4c(C(=O)/C=C/c5ccccc5)c(O)cc(O)c43)O2)O1,CHEMBL525213,True,True,-13.867,-13.867,0.0,1,-13.87,
CHEMBL473999,O=C(O)c1ccc(-c2cccc(Cc3c(-c4ccc(O)cc4)oc4cc(O)ccc4c3=O)c2)cc1O,CHEMBL473999,True,True,-13.709,-13.709,0.0,1,-13.71,
CHEMBL495142,O=C(O)c1ccc(-c2ccc(Cc3c(-c4ccc(O)cc4)oc4cc(O)ccc4c3=O)cc2)cc1O,CHEMBL495142,True,True,-13.505,-13.505,0.0,1,-13.51,
CHEMBL527687,O=C(/C=C/c1ccc(Cl)c(Cl)c1)N1CCC(CN2CCC(c3c(-c4ccccc4)[nH]c4ccccc34)CC2)CC1,CHEMBL527687,True,True,-13.392,-13.392,0.0,1,-13.39,
CHEMBL132009,O=C1CCN(Cc2ccccc2)C/C1=C\c1cn(C(=O)c2ccccc2)c2ccc(OCc3ccccc3)cc12,CHEMBL132009,True,True,-13.336,-13.336,0.0,1,-13.34,
CHEMBL4543505,Cc1c(-c2ccc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1N1Cc2ccc(F)cc2C1=O,CHEMBL4543505,True,True,-13.214,-13.214,0.0,1,-13.21,
CHEMBL278349,Cn1cc(C(C(=O)NS(=O)(=O)c2ccccc2C(=O)O)c2ccc3c(c2)OCO3)c2ccc(C(N)=O)cc21,CHEMBL278349,True,True,-13.201,-13.201,0.0,1,-13.20,
CHEMBL3323084,Cn1cc([C@@]2(c3cncc(C(=O)O)c3)N[C@@H](c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,CHEMBL3323084,True,True,-13.133,-13.133,0.0,1,-13.13,
CHEMBL4553330,O=C1NC(=S)NC(=O)C1=Cc1cn(C(=O)c2cccc3ccccc23)c2ccc(Cl)cc12,CHEMBL4553330,True,True,-13.114,-13.114,0.0,1,-13.11,
CHEMBL546324,O=C(c1cc(C(=O)Nc2ccccc2F)c(=O)n(-c2ccccc2F)c1)c1cc(Cl)ccc1O,CHEMBL546324,True,True,-13.084,-13.084,0.0,1,-13.08,
CHEMBL4472833,O=C(CC1S/C(=N\N=C\c2c(-c3ccccc3)[nH]c3ccccc23)NC1=O)c1cccc2c1CCCC2,CHEMBL4472833,True,True,-13.038,-13.038,0.0,1,-13.04,
CHEMBL259654,O=C(c1cc2c(cc1F)OC(c1ccc(F)cc1F)(c1ccc(F)cc1F)O2)N1CCC(F)(F)CC1,CHEMBL259654,True,True,-12.988,-12.988,0.0,1,-12.99,
CHEMBL443426,COc1cccc2c1cc1c3c(cc4c(c32)OCO4)C(=O)N1[C@@H]1O[C@H](COC(=O)/C=C/c2ccc(O)cc2)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL443426,True,True,-12.876,-12.876,0.0,1,-12.88,
CHEMBL339379,O=C(O)c1cn2c3c(c(N4CCNCC4)c(F)cc3c1=O)Oc1ccc3ccccc3c1-2,CHEMBL339379,True,True,-12.871,-12.871,0.0,1,-12.87,
CHEMBL3323086,Cn1cc([C@@]2(c3ccc(C(=O)O)cn3)N[C@@H](c3nc(-c4ccc(F)cc4)c[nH]3)Cc3c2[nH]c2ccccc32)cn1,CHEMBL3323086,True,True,-12.828,-12.828,0.0,1,-12.83,
CHEMBL4534063,O=C(O)c1cc2c3c(c1)C1C=CCC1C(c1ccc(Cl)cc1)N3CC1CC=CC21,CHEMBL4534063,True,True,-12.824,-12.824,0.0,1,-12.82,
CHEMBL494537,O=C(O)c1ccc(-c2ccc(Cc3c(-c4ccc(O)cc4)oc4ccccc4c3=O)cc2)cc1O,CHEMBL494537,True,True,-12.812,-12.812,0.0,1,-12.81,
CHEMBL453393,O=C(O)c1cccc(-c2nc(-c3nnc(Cc4ccc(F)cc4)o3)c(O)c3ncccc23)c1,CHEMBL453393,True,True,-12.807,-12.807,0.0,1,-12.81,
CHEMBL4456033,Cn1c(=O)oc2cc(S(=O)(=O)N3CCC4(CC3)Nc3cc(F)ccc3-n3cccc34)ccc21,CHEMBL4456033,True,True,-12.789,-12.789,0.0,1,-12.79,
CHEMBL325121,O=C1NC(=O)c2c1c1c3ccc(CN4CCNCC4)cc3[nH]c1c1c2c2cccc3c2n1CCC3,CHEMBL325121,True,True,-12.776,-12.776,0.0,1,-12.78,
CHEMBL503928,CN(C(=O)/C=C/c1cccc(C(F)(F)F)c1)[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,CHEMBL503928,True,True,-12.754,-12.754,0.0,1,-12.75,
CHEMBL448883,O=C(/C=C/c1ccc(O)cc1)O[C@@H]1[C@@H](O)[C@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)O[C@H](CO)[C@H]1O,CHEMBL448883,True,True,-12.74,-12.74,0.0,1,-12.74,
CHEMBL152001,O=C(O)C(Cc1ccc(O)cc1)N(Cc1ccccc1-c1ccccc1)C(=O)/C=C/c1ccc2c(c1)OCO2,CHEMBL152001,True,True,-12.713,-12.713,0.0,1,-12.71,
CHEMBL4513599,Cc1c(-c2ccc(C(N)=O)c3[nH]c4cc(C(C)(C)O)ccc4c23)cccc1-n1cnc2ccc(F)cc2c1=O,CHEMBL4513599,True,True,-12.708,-12.708,0.0,1,-12.71,
CHEMBL204136,C[C@@H]1CN([C@H](c2ccc(-c3ccccc3C(=O)O)cc2)c2cccc(O)c2)[C@@H](C)CN1Cc1ccccc1,CHEMBL204136,True,True,-12.703,-12.703,0.0,1,-12.70,
CHEMBL4440033,O=C(N/N=C/c1ccc2c(c1)OCO2)c1cn(C2CC2)c2cc(N/N=C/c3ccc4c(c3)OCO4)c(F)cc2c1=O,CHEMBL4440033,True,True,-12.7,-12.7,0.0,1,-12.70,
CHEMBL364434,N=C(N)c1ccc2[nH]cc(C(Cc3cccc(C(=O)O)c3)C(=O)Nc3ccc(-n4cnc5ccccc54)cc3F)c2c1,CHEMBL364434,True,True,-12.637,-12.637,0.0,1,-12.64,
CHEMBL307683,O=C(O)c1cn(-c2ccc([N+](=O)[O-])cc2)c2cc(N3CCN(C/C(=N\O)c4ccc(F)cc4)CC3)c(F)cc2c1=O,CHEMBL307683,True,True,-12.617,-12.617,0.0,1,-12.62,
CHEMBL1205059,Cc1ccccc1-c1cccc2c1CCN2c1nc2ccc(F)cc2c(C(=O)O)c1C,CHEMBL1205059,True,True,-12.616,-12.616,0.0,1,-12.62,
