id,smiles,label
BRD-K76022557-003-28-9,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,(R)-(-)-apomorphine
BRD-K75516118-001-04-1,COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1,(R)-(-)-rolipram
BRD-K62353271-001-04-7,NC[C@H](CC(=O)O)c1ccc(Cl)cc1,(R)-baclofen
BRD-K65856711-001-05-9,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,(S)-(+)-rolipram
BRD-K88956297-003-01-9,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium"
BRD-K01825681-050-02-9,c1ccc(C[C@H](c2ccccc2)N2CCCCC2)cc1,"1-(1,2-diphenylethyl)piperidine-(+/-)"
BRD-A95802703-001-01-0,Cc1ccc(Cl)c(OC[C@H](O)CNC(C)C)c1,1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol
BRD-K03273112-001-01-8,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,1-azakenpaullone
BRD-K89665618-003-04-9,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,1-deoxymannojirimycin
BRD-K70586315-001-03-2,CCn1c(=O)[nH]c2ccccc21,1-EBIO
BRD-K35114608-001-01-7,CCCCCCCCCCCCCCCC=O,1-hexadecanal
BRD-K37203094-001-02-5,CCCCCCCCCCCCCCCCO,1-hexadecanol
BRD-K29542628-001-03-9,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,1-naphthyl-PP1
BRD-K03083257-001-01-6,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,1-octacosanol
BRD-K31491153-003-07-9,N=C(N=C(N)N)Nc1ccccc1,1-phenylbiguanide
BRD-K04603573-376-01-3,CCNCCCNCCCCNCCCNCC,"1,12-Besm"
BRD-K06817181-001-02-3,BrC1C(Br)C(Br)C(Br)C(Br)C1Br,"1,2,3,4,5,6-hexabromocyclohexane"
BRD-K41853443-001-03-9,CCCn1c(=O)c2[nH]c(-c3ccccc3)nc2n(CCC)c1=O,"1,3-dipropyl-8-phenylxanthine"
BRD-K53083666-001-01-0,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@H]1O,"1,5-dicaffeoylquinic-acid"
BRD-K96631475-001-03-2,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,10-deacetylbaccatin
BRD-K70792160-003-04-6,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,10-DEBC
BRD-K63784565-001-08-9,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,10-hydroxycamptothecin
BRD-K49460120-001-06-6,CCc1ccc(/C=C2/SC(=S)NC2=O)cc1,10058-F4
BRD-K68552125-001-05-3,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@]3(O)C(=O)C(C)=C[C@@H]23)[C@@H]2C(C)(C)[C@]12OC(C)=O,12-O-tetradecanoylphorbol-13-acetate
BRD-K30237152-300-02-5,CC(=N)NCc1cccc(CN)c1,1400W
BRD-K92301463-001-05-5,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,"16,16-dimethylprostaglandin-e2"
BRD-K70264088-001-17-9,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,17-hydroxyprogesterone-caproate
BRD-K07395323-001-01-0,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3ccccc3)=CC[C@@H]12,17-PA
BRD-A37752546-001-01-9,CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O,1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime
BRD-K27853494-003-04-7,C[C@@H](N)[C@@H](O)c1ccccc1,"1S,2R-phenylpropanolamine"
BRD-K75167327-001-01-6,O=C(O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,2-(1-adamantylamino)benzoic-acid
BRD-A66788520-001-01-7,O=C(O)CC[C@@H](CCCS)C(=O)O,2-(3-mercaptopropyl)pentanedioic-acid
BRD-K46989997-001-01-8,O=C1NC(=CCl)Nc2sc3c(c21)CCCC3,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one"
BRD-K91868854-001-04-9,c1ccc2sc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc2c1,2-[1-(4-piperonyl)piperazinyl]benzothiazole
BRD-K32681104-001-11-6,Nc1ccccc1S(N)(=O)=O,2-aminobenzenesulfonamide
BRD-K13346085-001-05-9,NCCOB(c1ccccc1)c1ccccc1,2-APB
BRD-K22745370-003-02-3,c1ccc2oc(C3=NCCN3)cc2c1,2-BFI
BRD-K70088346-001-02-4,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,2-chloro-N6-cyclopentyladenosine
BRD-K79511609-001-20-0,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,2-chloroadenosine
BRD-K92588747-051-03-9,CN1CCN(C2=Cc3ccccc3Oc3ccc(Cl)cc32)CC1,2-CMDO
BRD-A55902763-001-01-3,CN([NH2+][O-])C(=O)N[C@@H](C=O)[C@@H](O)[C@@H](O)[C@@H](O)CO,2-deoxy-2-([methyl(nitroso)carbamoyl]amino)hexose
BRD-K97808269-001-02-7,OC[C@H]1O[C@H](O)C[C@@H](O)[C@@H]1O,2-deoxyglucose
BRD-K04843302-001-02-5,CCOc1ccccc1C(=O)O,2-ethoxybenzoic-acid
BRD-A53037300-001-01-0,OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H](O)[C@@H]1O,2-fluoro-2-deoxy-D-galactose
BRD-K00004677-001-01-9,C[C@@H]1O[C@H](O)[C@@H](F)[C@H](O)[C@@H]1O,2-fluorofucose
BRD-A52169337-001-01-9,O=C1C(=C(O)/C=C/c2ccc(O)cc2)C(=O)[C@@](O)([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C(=O)[C@H]1[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,"2-hydroxy-4-((E)-3-(4-hydroxyphenyl)acryloyl)-2-((2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)-6-((2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl)cyclohexane-1,3,5-trione"
