compounds=6389  already_done=193  todo=6196
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[1/6196] BRD-K65498798-001-01-7 -7.51 (passes -7.51)                3.3s/lig ETA 337.6m
[2/6196] BRD-K00003109-001-01-9 -8.70 (passes -8.70)                5.4s/lig ETA 558.9m
[3/6196] BRD-K77432251-001-01-2 -8.47 (passes -8.47)                3.8s/lig ETA 394.7m
[4/6196] BRD-K28861668-001-01-9 -9.25 (passes -9.25)                3.4s/lig ETA 347.4m
[5/6196] BRD-K50071428-001-04-9 -8.38 (passes -8.38)                3.6s/lig ETA 369.3m
[6/6196] BRD-K01825984-001-01-9 -9.68 (passes -9.68)                3.1s/lig ETA 321.5m
[7/6196] BRD-K24048528-001-03-9 -6.33 (passes -6.33)                3.6s/lig ETA 368.4m
[8/6196] BRD-A78952587-001-02-3 -9.26 (passes -9.26)                3.2s/lig ETA 327.1m
[9/6196] BRD-K00003108-001-01-9 -8.12 (passes -8.12)                3.0s/lig ETA 308.7m
[10/6196] BRD-A29844814-300-01-5 -6.13 (passes -6.13)                2.8s/lig ETA 284.2m
[11/6196] BRD-K33622447-066-01-9 -10.00 (passes -10.00)              2.9s/lig ETA 300.3m
[12/6196] BRD-K22749967-046-02-3 -9.19 (passes -9.19)                2.7s/lig ETA 283.0m
[13/6196] BRD-K00004730-001-01-9 -7.68 (passes -7.68)                2.6s/lig ETA 269.1m
[14/6196] BRD-K37714784-305-02-1 -8.70 (passes -8.70)                2.7s/lig ETA 280.5m
[15/6196] BRD-K11792081-001-01-4 -10.04 (passes -10.04)              2.7s/lig ETA 282.3m
[16/6196] BRD-K36021395-300-03-2 -8.63 (passes -8.63)                2.6s/lig ETA 265.1m
[17/6196] BRD-K57865272-001-02-0 -7.64 (passes -7.64)                2.7s/lig ETA 273.0m
[18/6196] BRD-K97233161-003-01-5 -9.33 (passes -9.33)                2.6s/lig ETA 266.0m
[19/6196] BRD-K00003394-001-01-9 -9.71 (passes -9.71)                2.5s/lig ETA 255.6m
[20/6196] BRD-K53788420-001-02-9 -9.17 (passes -9.17)                2.5s/lig ETA 253.7m
[21/6196] BRD-K91623615-001-06-8 -8.29 (passes -8.29)                2.4s/lig ETA 243.1m
[22/6196] BRD-A30000356-001-02-9 -7.30 (passes -7.30)                2.4s/lig ETA 246.3m
[23/6196] BRD-K81548480-001-02-0 -9.16 (passes -9.16)                2.4s/lig ETA 251.6m
[24/6196] BRD-K31144453-001-02-2 -6.90 (passes -6.90)                2.5s/lig ETA 253.9m
[25/6196] BRD-K00004603-001-01-9 -8.09 (passes -8.09)                2.4s/lig ETA 248.5m
[26/6196] BRD-K93176058-001-04-4 -8.11 (passes -8.11)                2.3s/lig ETA 240.8m
[27/6196] BRD-A49544621-003-03-6 -5.88 (passes -5.88)                2.3s/lig ETA 239.1m
[28/6196] BRD-K53448858-001-08-8 -6.97 (passes -6.97)                2.4s/lig ETA 249.6m
[29/6196] BRD-A27911617-001-01-7 -8.38 (passes -8.38)                2.4s/lig ETA 246.9m
[30/6196] BRD-K00004583-001-01-9 -8.76 (passes -8.76)                2.4s/lig ETA 247.2m
[31/6196] BRD-K26262077-238-01-5 -5.16 (passes -5.16)                2.3s/lig ETA 240.5m
[32/6196] BRD-K68633617-003-02-9 -8.05 (passes -8.05)                2.4s/lig ETA 249.1m
[33/6196] BRD-K64034691-001-01-9 -8.72 (passes -8.72)                2.4s/lig ETA 247.9m
[34/6196] BRD-K92517771-001-01-2 -6.81 (passes -6.81)                2.3s/lig ETA 241.1m
[35/6196] BRD-K15819326-001-02-9 -9.47 (passes -9.47)                2.4s/lig ETA 244.5m
[36/6196] BRD-K01825000-001-02-9 -5.94 (passes -5.94)                2.4s/lig ETA 243.3m
[37/6196] BRD-K07753030-003-17-6 -7.33 (passes -7.33)                2.4s/lig ETA 241.3m
[38/6196] BRD-K97417064-001-02-4 -8.83 (passes -8.83)                2.4s/lig ETA 250.9m
[39/6196] BRD-A29260609-003-26-0 -7.71 (passes -7.71)                2.4s/lig ETA 249.9m
[40/6196] BRD-K47195926-001-06-6 -6.54 (passes -6.54)                2.4s/lig ETA 243.6m
[41/6196] BRD-K68538666-001-14-9 -8.61 (passes -8.61)                2.3s/lig ETA 240.4m
[42/6196] BRD-K44004064-001-08-9 -7.24 (passes -7.24)                2.3s/lig ETA 238.8m
[43/6196] BRD-K13619941-001-02-9 -6.16 (passes -6.16)                2.3s/lig ETA 235.2m
[44/6196] BRD-K00003255-001-01-9 -9.23 (passes -9.23)                2.3s/lig ETA 240.8m
[45/6196] BRD-K36262466-001-06-3 -6.61 (passes -6.61)                2.5s/lig ETA 251.4m
[46/6196] BRD-A65051990-001-12-9 -7.86 (passes -7.86)                2.4s/lig ETA 247.8m
[47/6196] BRD-K50850824-237-03-0 -5.80 (passes -5.80)                2.4s/lig ETA 245.2m
[48/6196] BRD-K99048103-001-19-2 FAIL(prep: Meeko PDBQT write fail)  2.3s/lig ETA 240.1m
[49/6196] BRD-K67563174-001-19-9 -8.06 (passes -8.06)                2.3s/lig ETA 237.9m
[50/6196] BRD-K43457670-001-27-8 -6.94 (passes -6.94)                2.3s/lig ETA 236.3m
[51/6196] BRD-K37814297-050-09-6 -8.60 (passes -8.60)                2.3s/lig ETA 235.9m
[52/6196] BRD-K46416130-001-06-9 -5.53 (passes -5.53)                2.3s/lig ETA 236.6m
[53/6196] BRD-K52960356-001-13-0 -8.19 (passes -8.19)                2.3s/lig ETA 235.2m
[54/6196] BRD-A44696962-001-01-4 -6.01 (passes -6.01)                2.4s/lig ETA 242.3m
[55/6196] BRD-K27406233-001-08-9 -5.99 (passes -5.99)                2.4s/lig ETA 242.7m
[56/6196] BRD-K10226125-245-01-5 -5.73 (passes -5.73)                2.4s/lig ETA 240.8m
[57/6196] BRD-K42938903-332-01-1 -5.86 (passes -5.86)                2.3s/lig ETA 237.8m
[58/6196] BRD-K59058747-001-20-9 -4.91 (passes -4.91)                2.3s/lig ETA 234.5m
[59/6196] BRD-K72215350-001-07-9 -5.41 (passes -5.41)                2.3s/lig ETA 237.1m
