compounds=6389  already_done=0  todo=6389
receptor=receptor.pdbqt  exhaustiveness_schedule=[8]  base_seed=42
workers=8  cpu/worker=2  (cpu_total=16)
[1/6389] BRD-K76022557-003-28-9 -9.42 (passes -9.42)                5.4s/lig ETA 573.4m
[2/6389] BRD-K88956297-003-01-9 -5.88 (passes -5.88)                3.1s/lig ETA 325.0m
[3/6389] BRD-K62353271-001-04-7 -6.70 (passes -6.70)                2.6s/lig ETA 279.6m
[4/6389] BRD-K70586315-001-03-2 -6.62 (passes -6.62)                2.0s/lig ETA 212.8m
[5/6389] BRD-K75516118-001-04-1 -8.68 (passes -8.68)                1.7s/lig ETA 183.9m
[6/6389] BRD-K65856711-001-05-9 -8.39 (passes -8.39)                1.5s/lig ETA 156.0m
[7/6389] BRD-K01825681-050-02-9 -7.95 (passes -7.95)                1.3s/lig ETA 133.9m
[8/6389] BRD-K89665618-003-04-9 -5.49 (passes -5.49)                1.1s/lig ETA 120.4m
[9/6389] BRD-A95802703-001-01-0 -7.26 (passes -7.26)                1.2s/lig ETA 125.5m
[10/6389] BRD-K03273112-001-01-8 -7.60 (passes -7.60)                1.1s/lig ETA 117.5m
[11/6389] BRD-K06817181-001-02-3 -3.64 (passes -3.64)                1.1s/lig ETA 114.9m
[12/6389] BRD-K31491153-003-07-9 -6.33 (passes -6.33)                1.1s/lig ETA 116.7m
[13/6389] BRD-K29542628-001-03-9 -9.78 (passes -9.78)                1.1s/lig ETA 118.3m
[14/6389] BRD-K41853443-001-03-9 -9.11 (passes -9.11)                1.2s/lig ETA 129.5m
[15/6389] BRD-K63784565-001-08-9 -9.29 (passes -9.29)                1.4s/lig ETA 149.6m
[16/6389] BRD-K35114608-001-01-7 -5.74 (passes -5.74)                1.4s/lig ETA 150.5m
[17/6389] BRD-K37203094-001-02-5 -5.70 (passes -5.70)                1.4s/lig ETA 151.4m
[18/6389] BRD-K49460120-001-06-6 -7.84 (passes -7.84)                1.3s/lig ETA 143.0m
[19/6389] BRD-K70792160-003-04-6 -7.16 (passes -7.16)                1.3s/lig ETA 139.2m
[20/6389] BRD-K30237152-300-02-5 -6.63 (passes -6.63)                1.4s/lig ETA 149.7m
[21/6389] BRD-K04603573-376-01-3 -5.11 (passes -5.11)                1.4s/lig ETA 153.8m
[22/6389] BRD-K07395323-001-01-0 -8.22 (passes -8.22)                1.5s/lig ETA 159.4m
[23/6389] BRD-K27853494-003-04-7 -6.25 (passes -6.25)                1.6s/lig ETA 168.5m
[24/6389] BRD-K70264088-001-17-9 -7.25 (passes -7.25)                1.7s/lig ETA 177.9m
[25/6389] BRD-K75167327-001-01-6 -9.05 (passes -9.05)                1.7s/lig ETA 180.5m
[26/6389] BRD-K46989997-001-01-8 -8.16 (passes -8.16)                1.7s/lig ETA 183.1m
[27/6389] BRD-A66788520-001-01-7 -5.15 (passes -5.15)                1.7s/lig ETA 183.7m
[28/6389] BRD-A37752546-001-01-9 -7.12 (passes -7.12)                1.7s/lig ETA 184.7m
[29/6389] BRD-K13346085-001-05-9 FAIL(vina rc=1: PDBQT parsing err)  1.7s/lig ETA 178.5m
[30/6389] BRD-K53083666-001-01-0 -9.78 (passes -9.78)                1.6s/lig ETA 172.8m
[31/6389] BRD-K32681104-001-11-6 -5.89 (passes -5.89)                1.6s/lig ETA 169.2m
[32/6389] BRD-K92301463-001-05-5 -7.69 (passes -7.69)                1.6s/lig ETA 166.4m
[33/6389] BRD-K22745370-003-02-3 -7.33 (passes -7.33)                1.5s/lig ETA 163.7m
[34/6389] BRD-K91868854-001-04-9 -8.90 (passes -8.90)                1.5s/lig ETA 158.9m
[35/6389] BRD-K92588747-051-03-9 -8.77 (passes -8.77)                1.5s/lig ETA 163.3m
[36/6389] BRD-K97808269-001-02-7 -5.50 (passes -5.50)                1.5s/lig ETA 160.3m
[37/6389] BRD-K04843302-001-02-5 -6.38 (passes -6.38)                1.5s/lig ETA 161.2m
[38/6389] BRD-K79511609-001-20-0 -8.04 (passes -8.04)                1.5s/lig ETA 157.2m
[39/6389] BRD-A53037300-001-01-0 -5.78 (passes -5.78)                1.5s/lig ETA 157.0m
[40/6389] BRD-K00004677-001-01-9 -5.89 (passes -5.89)                1.5s/lig ETA 155.2m
[41/6389] BRD-K70088346-001-02-4 -9.10 (passes -9.10)                1.4s/lig ETA 152.3m
[42/6389] BRD-K41866823-001-01-3 -6.42 (passes -6.42)                1.5s/lig ETA 155.4m
[43/6389] BRD-A27924917-001-03-3 -6.73 (passes -6.73)                1.5s/lig ETA 158.7m
[44/6389] BRD-K82027074-001-08-3 -8.07 (passes -8.07)                1.5s/lig ETA 155.5m
[45/6389] BRD-A55902763-001-01-3 -6.17 (passes -6.17)                1.5s/lig ETA 154.6m
[46/6389] BRD-K07954936-001-02-9 -6.70 (passes -6.70)                1.5s/lig ETA 153.7m
[47/6389] BRD-K56634222-001-03-0 -6.89 (passes -6.89)                1.4s/lig ETA 151.9m
[48/6389] BRD-K44408410-001-21-8 -9.81 (passes -9.81)                1.4s/lig ETA 152.2m
[49/6389] BRD-K22327730-001-02-9 -6.17 (passes -6.17)                1.4s/lig ETA 149.5m
[50/6389] BRD-K25649279-001-03-9 -7.38 (passes -7.38)                1.4s/lig ETA 147.1m
[51/6389] BRD-K64137799-003-03-3 -6.99 (passes -6.99)                1.4s/lig ETA 144.6m
[52/6389] BRD-K41869275-001-03-6 -8.61 (passes -8.61)                1.5s/lig ETA 157.1m
[53/6389] BRD-A04661934-001-03-9 -10.18 (passes -10.18)              1.5s/lig ETA 155.0m
[54/6389] BRD-K44602126-001-01-3 -5.88 (passes -5.88)                1.5s/lig ETA 156.7m
[55/6389] BRD-A75263867-001-01-1 -6.05 (passes -6.05)                1.5s/lig ETA 158.7m
[56/6389] BRD-K03083257-001-01-6 -6.08 (passes -6.08)                1.5s/lig ETA 161.2m
[57/6389] BRD-K89072800-001-02-9 -8.45 (passes -8.45)                1.5s/lig ETA 159.1m
[58/6389] BRD-K97833335-001-08-2 -6.65 (passes -6.65)                1.5s/lig ETA 160.0m
[59/6389] BRD-K21910317-001-12-3 -6.73 (passes -6.73)                1.5s/lig ETA 157.8m
[60/6389] BRD-K61734568-003-03-9 -6.33 (passes -6.33)                1.5s/lig ETA 159.0m
[61/6389] BRD-K78092779-001-01-6 -9.01 (passes -9.01)                1.5s/lig ETA 163.2m
[62/6389] BRD-A51407134-001-02-7 -5.75 (passes -5.75)                1.6s/lig ETA 163.7m
[63/6389] BRD-A55464252-001-01-2 -7.78 (passes -7.78)                1.6s/lig ETA 165.6m
[64/6389] BRD-K63932022-001-02-3 -8.11 (passes -8.11)                1.6s/lig ETA 163.4m
[65/6389] BRD-A43598550-001-09-4 -9.22 (passes -9.22)                1.6s/lig ETA 165.7m
