id,smiles,label,prep_ok,dock_ok,affinity,affinity_mean,affinity_std,n_passes,affinities_by_pass,error
BRD-K76022557-003-28-9,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3,(R)-(-)-apomorphine,True,True,-9.417,-9.417,0.0,1,-9.42,
BRD-K88956297-003-01-9,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",True,True,-5.882,-5.882,0.0,1,-5.88,
BRD-K62353271-001-04-7,NC[C@H](CC(=O)O)c1ccc(Cl)cc1,(R)-baclofen,True,True,-6.698,-6.698,0.0,1,-6.70,
BRD-K70586315-001-03-2,CCn1c(=O)[nH]c2ccccc21,1-EBIO,True,True,-6.616,-6.616,0.0,1,-6.62,
BRD-K75516118-001-04-1,COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1,(R)-(-)-rolipram,True,True,-8.679,-8.679,0.0,1,-8.68,
BRD-K65856711-001-05-9,COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1,(S)-(+)-rolipram,True,True,-8.387,-8.387,0.0,1,-8.39,
BRD-K01825681-050-02-9,c1ccc(C[C@H](c2ccccc2)N2CCCCC2)cc1,"1-(1,2-diphenylethyl)piperidine-(+/-)",True,True,-7.945,-7.945,0.0,1,-7.95,
BRD-K89665618-003-04-9,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,1-deoxymannojirimycin,True,True,-5.487,-5.487,0.0,1,-5.49,
BRD-A95802703-001-01-0,Cc1ccc(Cl)c(OC[C@H](O)CNC(C)C)c1,1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,True,True,-7.265,-7.265,0.0,1,-7.26,
BRD-K03273112-001-01-8,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,1-azakenpaullone,True,True,-7.599,-7.599,0.0,1,-7.60,
BRD-K06817181-001-02-3,BrC1C(Br)C(Br)C(Br)C(Br)C1Br,"1,2,3,4,5,6-hexabromocyclohexane",True,True,-3.644,-3.644,0.0,1,-3.64,
BRD-K31491153-003-07-9,N=C(N=C(N)N)Nc1ccccc1,1-phenylbiguanide,True,True,-6.329,-6.329,0.0,1,-6.33,
BRD-K29542628-001-03-9,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,1-naphthyl-PP1,True,True,-9.775,-9.775,0.0,1,-9.78,
BRD-K41853443-001-03-9,CCCn1c(=O)c2[nH]c(-c3ccccc3)nc2n(CCC)c1=O,"1,3-dipropyl-8-phenylxanthine",True,True,-9.105,-9.105,0.0,1,-9.11,
BRD-K63784565-001-08-9,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,10-hydroxycamptothecin,True,True,-9.29,-9.29,0.0,1,-9.29,
BRD-K35114608-001-01-7,CCCCCCCCCCCCCCCC=O,1-hexadecanal,True,True,-5.743,-5.743,0.0,1,-5.74,
BRD-K37203094-001-02-5,CCCCCCCCCCCCCCCCO,1-hexadecanol,True,True,-5.7,-5.7,0.0,1,-5.70,
BRD-K49460120-001-06-6,CCc1ccc(/C=C2/SC(=S)NC2=O)cc1,10058-F4,True,True,-7.837,-7.837,0.0,1,-7.84,
BRD-K70792160-003-04-6,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,10-DEBC,True,True,-7.155,-7.155,0.0,1,-7.16,
BRD-K30237152-300-02-5,CC(=N)NCc1cccc(CN)c1,1400W,True,True,-6.628,-6.628,0.0,1,-6.63,
BRD-K04603573-376-01-3,CCNCCCNCCCCNCCCNCC,"1,12-Besm",True,True,-5.113,-5.113,0.0,1,-5.11,
BRD-K07395323-001-01-0,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3ccccc3)=CC[C@@H]12,17-PA,True,True,-8.216,-8.216,0.0,1,-8.22,
BRD-K27853494-003-04-7,C[C@@H](N)[C@@H](O)c1ccccc1,"1S,2R-phenylpropanolamine",True,True,-6.255,-6.255,0.0,1,-6.25,
BRD-K70264088-001-17-9,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,17-hydroxyprogesterone-caproate,True,True,-7.249,-7.249,0.0,1,-7.25,
BRD-K75167327-001-01-6,O=C(O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,2-(1-adamantylamino)benzoic-acid,True,True,-9.05,-9.05,0.0,1,-9.05,
BRD-K46989997-001-01-8,O=C1NC(=CCl)Nc2sc3c(c21)CCCC3,"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one",True,True,-8.164,-8.164,0.0,1,-8.16,
BRD-A66788520-001-01-7,O=C(O)CC[C@@H](CCCS)C(=O)O,2-(3-mercaptopropyl)pentanedioic-acid,True,True,-5.154,-5.154,0.0,1,-5.15,
BRD-A37752546-001-01-9,CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O,1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime,True,True,-7.121,-7.121,0.0,1,-7.12,
BRD-K13346085-001-05-9,NCCOB(c1ccccc1)c1ccccc1,2-APB,True,False,,,,0,,"vina rc=1: PDBQT parsing error: Atom type B is not a valid AutoDock type (atom types are case-sensitive).
 > ATOM      8  B   UNL  "
BRD-K53083666-001-01-0,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@@H](O)[C@H]1O,"1,5-dicaffeoylquinic-acid",True,True,-9.784,-9.784,0.0,1,-9.78,
