id,smiles,max_pchembl,g12d_assay
CHEMBL6149922,CCOc1nc2c(F)c(-c3cc(O)cc4ccccc34)c(CCC#N)cc2c2c1cc(CN1CCCCC1=O)n2[C@H]1[C@H]2CN[C@@H]1C2,10.30,True
CHEMBL4855757,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4C(CF)CC5)nc3c2F)c2ccccc2c1,10.00,True
CHEMBL5863463,C#Cc1cccc2cccc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,10.00,True
CHEMBL5741049,Oc1cc(Cl)c(C(F)(F)F)c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c1,10.00,True
CHEMBL6146640,CC(=O)Oc1cc(C)c2c(c1)CC[C@@](C)(CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O2,9.80,True
CHEMBL4857438,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OC[C@@]45CCCN4C[C@H](F)C5)nc3c2F)c2c(Cl)cccc2c1,9.70,True
CHEMBL6102885,CCOc1nc2c(F)c(-c3cc(O)cc4ccccc34)c(CCC#N)cc2c2c1cc(CCC(=O)N(C)C)n2[C@H]1[C@H]2CN[C@@H]1C2,9.59,True
CHEMBL4863339,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OCC56CCCN5CCC6)nc4c3F)c12,9.52,True
CHEMBL5892737,CN1CCC[C@H]1COc1nc(N2CC3CCC(Cl)(C2)N3)c2cnc(-c3cc(O)cc4ccccc34)c(F)c2n1,9.52,True
CHEMBL4859236,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2c(Cl)cccc2c1,9.40,True
CHEMBL4876040,C#Cc1cccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.40,True
CHEMBL4858364,C#Cc1c(F)ccc2cc(O)cc(-c3ncc4c(N5CC6CCC(C5)N6)nc(OC[C@@]56CCCN5C[C@H](F)C6)nc4c3F)c12,9.40,True
CHEMBL5804582,O[C@@H]1CC2CN(c3nc(OCC45CCCN4CCC5)nc4c(F)c(-c5cccc6cccc(Cl)c56)ncc34)C[C@H]1N2,9.40,True
CHEMBL5905084,CN1CCC[C@H]1COc1nc(N2CC3CCC(C2)N3)c2cnc(-c3cc(O)cc4cccc(Cl)c34)c(F)c2n1,9.40,True
CHEMBL5776467,Oc1ccc(OC(F)(F)F)c(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4C[C@H](F)C5)nc3c2F)c1,9.40,True
CHEMBL4857719,Oc1cc(-c2ncc3c(N4CC5CCC(C4)N5)nc(OCC45CCCN4CCC5)nc3c2F)c2c(Cl)c(F)ccc2c1,9.30,True
